GameName, reviewDate, ratingNumber
'Pokemon Red & Blue', 19990623, 10.0
'Pokemon Yellow', 19991020, 10.0
'Pokemon Gold & Silver', 20000117, 10.0
'Pokemon Crystal', 20010730, 9.0
'Pokemon Ruby & Sapphire', 20030317, 9.5
'Pokemon Emerald', 20050503, 8.0
'Pokemon FireRed & LeafGreen', 20060909, 9.0
'Pokemon Diamond & Pearl', 20070420, 8.5
'Pokemon Platinum', 20090322, 8.8
'Pokemon HeartGold & SoulSilver', 20100313, 8.5
'Pokemon Black & White', 20110305, 9.0
'Pokemon Black 2 & White 2', 20121004, 9.6
'Pokemon X & Y', 20131004, 9.0
'Pokemon Omega Ruby & Alpha Sapphire', 20141118, 7.8
'Pokemon Sun & Moon', NULL, 9.0
'Pokemon Ultra Sun & Moon', 21071114, 9.0
'Pokemon Lets Go', 20181113, 8.3
'Pokemon Sword & Shield', 20200623, 7.0
'Pokemon Legends: Arceus', 20220127, 7.0
'Pokemon Scarlet & Violet', 20221123, 6.0
